title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
The Feels,TWICE,k-pop,2021,2024‑05‑29,120,90,81,-2,8,92,198,9,7,64
MOONLIGHT SUNRISE,TWICE,k-pop,2023,2024‑05‑27,125,78,75,-3,9,61,180,39,6,64
MORE & MORE,TWICE,k-pop,2020,2024‑05‑27,107,84,74,-4,17,56,200,3,6,64
Sour Candy (with BLACKPINK),Lady Gaga,art pop,2020,2024‑05‑29,120,87,75,-4,49,78,158,6,6,63
Rough,GFRIEND,k-pop,2016,2024‑05‑27,112,91,61,-2,11,73,209,15,4,63
SCIENTIST,TWICE,k-pop,2021,2024‑05‑27,113,86,79,-4,13,65,195,5,7,63
Heart Shaker,TWICE,k-pop,2017,2024‑05‑27,164,94,56,-1,15,86,187,11,6,63
Singularity,BTS,k-pop,2018,2024‑05‑29,104,27,78,-9,11,20,197,56,9,62
Knock Knock,TWICE,k-pop,2017,2024‑05‑27,130,97,67,-3,6,47,196,2,13,62
DM,fromis_9,k-pop,2022,2024‑05‑27,122,90,65,-3,6,66,204,2,11,62
Dynamite,BTS,k-pop,2020,2024‑05‑29,114,77,75,-4,9,74,199,1,10,61
Black Swan,BTS,k-pop,2020,2024‑05‑29,147,76,72,-5,13,49,198,14,8,60
SO BAD,STAYC,k-pop,2020,2024‑05‑27,169,91,56,-3,6,62,212,19,10,60
What is Love,TWICE,k-pop,2018,2024‑05‑27,170,91,57,-2,27,60,208,8,6,60
Congratulations,DAY6,k-pop,2015,2024‑05‑27,180,70,31,-4,4,58,229,5,5,59
Home,SEVENTEEN,k-pop,2019,2024‑05‑27,88,55,75,-5,9,61,204,42,22,59
Time of Our Life,DAY6,k-pop,2019,2024‑05‑27,175,98,51,-3,22,75,206,0,5,55
Back to the City,Kep1er,k-pop,2023,2024‑05‑27,177,85,53,-2,49,45,200,1,6,50
Blood Sweat & Tears,BTS,k-pop,2017,2024‑05‑29,93,89,58,-4,36,61,217,2,10,49
WANNA BE MYSELF,MAMAMOO,k-pop,2020,2024‑05‑27,124,87,71,-4,13,80,206,7,8,44
You’re the Best,MAMAMOO,k-pop,2016,2024‑05‑27,122,86,68,-3,24,70,231,4,5,44
Mr-Ambiguous,MAMAMOO,k-pop,2014,2024‑05‑27,125,85,75,-3,23,78,221,42,8,44
Monster,EXO,k-pop,2016,2024‑05‑27,150,76,62,-4,13,54,221,1,6,39
MAMA - Chinese Version,EXO-M,chinese idol pop,2012,2024‑05‑27,90,95,63,-4,13,38,270,1,13,34
History - Chinese Version,EXO-M,chinese idol pop,2012,2024‑05‑27,111,83,77,-3,4,62,210,0,8,31
